# name: context2
# attribute -- name: Test1, description: Student taking a standardized test that has a mean score of 100 and a standard deviation of 20., type: numeric, unit: Points, editable: true, formula: random(20&comma;100)
# attribute -- name: Test2, description: Student taking a standardized test that has a mean score of 100 and a standard deviation of 20., type: numeric, unit: Points, editable: true, formula: random(20&comma;100)
# attribute -- name: Test3, description: Student taking a standardized test that has a mean score of 100 and a standard deviation of 20., type: numeric, unit: Points, editable: true, formula: random(20&comma;100)
# attribute -- name: Test4, description: Student taking a standardized test that has a mean score of 100 and a standard deviation of 20., type: numeric, unit: Points, editable: true, formula: random(20&comma;100)
# attribute -- name: Test5, description: Student taking a standardized test that has a mean score of 100 and a standard deviation of 20., type: numeric, unit: Points, editable: true, formula: random(20&comma;100)
# attribute -- name: Test6, description: Student taking a standardized test that has a mean score of 100 and a standard deviation of 20., type: numeric, unit: Points, editable: true, formula: random(20&comma;100)
# attribute -- name: max2, description: Take the larger of Test2 or Test 1, type: numeric, unit: Points, editable: true, formula: Test1 > Test2? Test1 : Test2
# attribute -- name: max3, description: Take the larger of max2 or Test3, unit: Points, editable: true, formula: max2 > Test3? max2: Test3
# attribute -- name: max4, description: Take the larger of max3 or Test 4, type: numeric, unit: Points, editable: true, formula: max3 > Test4? max3 : Test4
# attribute -- name: max5, description: Take the larger of max4 or Test5, type: numeric, unit: Points, editable: true, formula: max4 > Test5? max4:Test5
# attribute -- name: max6, description: Take the larger of max5 or Test6, type: numeric, unit: Points, editable: true, formula: max5 > Test6? max5 : Test6
Test1,Test2,Test3,Test4,Test5,Test6,max2,max3,max4,max5,max6
30.637127189904945,92.871840523427,53.74911731167529,83.98973431593112,87.10837011760572,94.20161431760378,92.871840523427,92.871840523427,92.871840523427,92.871840523427,94.20161431760378
22.674426952867854,28.49149283493878,94.52924479195553,58.2645821733911,32.84067243628912,25.950811810899932,28.49149283493878,94.52924479195553,94.52924479195553,94.52924479195553,94.52924479195553
87.5696201699825,59.121950837930314,65.38684999968977,36.02952171769539,63.72642602438105,66.73223041607015,87.5696201699825,87.5696201699825,87.5696201699825,87.5696201699825,87.5696201699825
51.790804396121494,41.735615958823175,46.01692261598116,65.2915935202142,85.9996844506606,62.549878847961075,51.790804396121494,51.790804396121494,65.2915935202142,85.9996844506606,85.9996844506606
91.53373836326892,82.38869063067193,39.05974200794876,72.04012621337287,47.43706219677516,43.83170531890368,91.53373836326892,91.53373836326892,91.53373836326892,91.53373836326892,91.53373836326892
51.67944928154442,79.24600647132547,89.24632651633199,53.85275271611056,95.56093435486092,34.93833588462451,79.24600647132547,89.24632651633199,89.24632651633199,95.56093435486092,95.56093435486092
95.13858975356906,71.52304769981981,51.54400683398653,90.09610515270808,49.18569438595699,91.92214246597817,95.13858975356906,95.13858975356906,95.13858975356906,95.13858975356906,95.13858975356906
71.77430337293657,98.30848712598402,54.45854784799777,65.5796242765145,49.972442504007326,83.90807718729063,98.30848712598402,98.30848712598402,98.30848712598402,98.30848712598402,98.30848712598402
72.40782594292246,34.09644702866988,46.193140708178035,91.3553562357826,52.66443398094037,93.19805819543302,72.40782594292246,72.40782594292246,91.3553562357826,91.3553562357826,93.19805819543302
68.98588567679909,97.10583546789688,24.247677694286082,30.393239870315067,51.62692750189474,56.27572054900498,97.10583546789688,97.10583546789688,97.10583546789688,97.10583546789688,97.10583546789688
77.06641269501148,40.959117314525535,92.1545753467146,27.70819753431588,52.459436521508096,52.33137179308669,77.06641269501148,92.1545753467146,92.1545753467146,92.1545753467146,92.1545753467146
89.05859306996736,45.03888959870367,87.74179089971882,47.01031275062195,26.13553468365233,86.31023532657875,89.05859306996736,89.05859306996736,89.05859306996736,89.05859306996736,89.05859306996736
69.0991077271662,69.16888490933758,67.96303077417,40.0074769375069,65.876795033913,85.40410390711025,69.16888490933758,69.16888490933758,69.16888490933758,69.16888490933758,85.40410390711025
59.833696434120505,96.95810184717834,42.37166942401315,54.3502529509101,78.17617317716247,80.84957849192634,96.95810184717834,96.95810184717834,96.95810184717834,96.95810184717834,96.95810184717834
79.86073336704946,72.37276641386174,84.32094078497832,99.11354145834653,43.13128083609185,70.8135239654649,79.86073336704946,84.32094078497832,99.11354145834653,99.11354145834653,99.11354145834653
70.32082334478119,42.75150777638459,34.33244790095338,91.68652056540355,89.51333185128922,41.45431864035351,70.32082334478119,70.32082334478119,91.68652056540355,91.68652056540355,91.68652056540355
93.57921157752763,68.40308576417632,97.70315036950197,21.76015179685227,30.374166791088744,54.87155162558394,93.57921157752763,97.70315036950197,97.70315036950197,97.70315036950197,97.70315036950197
70.88685668153485,94.38190920990674,91.58975310637389,55.19928276022956,32.409408839265375,27.746709934142466,94.38190920990674,94.38190920990674,94.38190920990674,94.38190920990674,94.38190920990674
40.767371530035874,97.17470773232422,22.55099541444885,49.04486862226818,26.684282176651514,59.644357638847794,97.17470773232422,97.17470773232422,97.17470773232422,97.17470773232422,97.17470773232422
47.81232112198609,73.73232283439269,84.15258345138027,23.91938238447441,34.68656812745685,31.785941765186465,73.73232283439269,84.15258345138027,84.15258345138027,84.15258345138027,84.15258345138027
75.52778056141528,26.20460591273849,54.99453432085865,53.00653060379199,92.40204469259149,28.570679738658615,75.52778056141528,75.52778056141528,75.52778056141528,92.40204469259149,92.40204469259149
76.97626121953371,60.68147946729154,36.98109933165838,97.92856957249879,69.12910991172633,70.84616664330761,76.97626121953371,76.97626121953371,97.92856957249879,97.92856957249879,97.92856957249879
43.1965872207514,50.846585474940184,49.48748331693261,87.23251711316794,35.767412319590726,62.4194879740582,50.846585474940184,50.846585474940184,87.23251711316794,87.23251711316794,87.23251711316794
49.60350845460155,22.862464659669524,64.54759345933434,73.50994533897978,68.07065549353837,40.9898607301612,49.60350845460155,64.54759345933434,73.50994533897978,73.50994533897978,73.50994533897978
62.43917620499556,82.48052579759297,52.98963458280083,46.637098847245014,86.53865136332529,80.11676400147911,82.48052579759297,82.48052579759297,82.48052579759297,86.53865136332529,86.53865136332529
25.36938765281871,55.311798483934254,58.628553358130446,58.65434627850847,51.771078353175845,91.53822559195464,55.311798483934254,58.628553358130446,58.65434627850847,58.65434627850847,91.53822559195464
28.518339878256562,83.11275050602453,33.35430374963698,30.57571209917854,37.114953734787505,89.66785189668444,83.11275050602453,83.11275050602453,83.11275050602453,83.11275050602453,89.66785189668444
84.45807646148108,50.682587291926886,69.57447231869769,63.61880781554608,31.718540798700623,34.51954829532888,84.45807646148108,84.45807646148108,84.45807646148108,84.45807646148108,84.45807646148108
44.22261903749384,80.69220364459639,39.09597915276536,34.75256713589006,67.82172358834254,59.55526184186917,80.69220364459639,80.69220364459639,80.69220364459639,80.69220364459639,80.69220364459639
39.340218141571825,80.54929921515607,32.4156702958156,86.5586695475365,65.30711890846052,29.08702442894887,80.54929921515607,80.54929921515607,86.5586695475365,86.5586695475365,86.5586695475365
36.31541493230565,69.60558928178607,93.20149690182183,59.18519000143312,89.77658011522928,47.66826289412422,69.60558928178607,93.20149690182183,93.20149690182183,93.20149690182183,93.20149690182183
78.23933999304796,33.479809158187365,98.65030273189004,79.80218925838415,79.7338819967182,23.181186938765332,78.23933999304796,98.65030273189004,98.65030273189004,98.65030273189004,98.65030273189004
65.14733000997114,61.7232199743517,79.42901659208084,64.48506118158242,38.96054224569219,55.83838357845216,65.14733000997114,79.42901659208084,79.42901659208084,79.42901659208084,79.42901659208084
83.73146356397223,89.53150443568168,41.607856613941294,36.97462006699264,64.72812942792655,45.85830953964569,89.53150443568168,89.53150443568168,89.53150443568168,89.53150443568168,89.53150443568168
36.722701559972464,87.71077200370141,76.5026689125188,52.35138861688672,65.68521842261751,20.69438067384531,87.71077200370141,87.71077200370141,87.71077200370141,87.71077200370141,87.71077200370141
38.191606620473436,38.846267372233136,36.13625024780351,45.76731479582574,27.657954031842813,61.020101846121904,38.846267372233136,38.846267372233136,45.76731479582574,45.76731479582574,61.020101846121904
21.25895779563838,48.330266587496986,26.349733746662576,64.36730400387778,44.61942389174632,82.22240214772249,48.330266587496986,48.330266587496986,64.36730400387778,64.36730400387778,82.22240214772249
36.400478890831565,42.45703688476262,72.91043149229822,25.9821746959338,56.862491281631776,33.8567109022123,42.45703688476262,72.91043149229822,72.91043149229822,72.91043149229822,72.91043149229822
28.372082021511808,35.16732368339043,42.42391462027274,49.8881812621319,82.1170580112314,54.372607408110795,35.16732368339043,42.42391462027274,49.8881812621319,82.1170580112314,82.1170580112314
89.39492323897949,41.09475197742636,62.44035398216265,86.54255599573543,98.2115503429641,67.06933725106684,89.39492323897949,89.39492323897949,89.39492323897949,98.2115503429641,98.2115503429641
71.00651161311961,40.84641155463339,61.85509035211118,52.640850502537475,79.97220547873226,92.96058136642387,71.00651161311961,71.00651161311961,71.00651161311961,79.97220547873226,92.96058136642387
85.55842914332314,96.63294165704588,74.64444164477341,23.80873321671355,71.24881926216437,35.01057451666432,96.63294165704588,96.63294165704588,96.63294165704588,96.63294165704588,96.63294165704588
63.78634455522211,65.34376383413827,29.294014320726287,83.92102342890524,87.5097658652592,24.90488213527307,65.34376383413827,65.34376383413827,83.92102342890524,87.5097658652592,87.5097658652592
88.11041029139854,43.221272289534596,78.68074257843995,25.021757383017132,59.66019575512634,21.159468840561495,88.11041029139854,88.11041029139854,88.11041029139854,88.11041029139854,88.11041029139854
90.847616133574,30.501637679009377,39.21094282556925,67.82529711300162,99.90481969384703,77.92322318537809,90.847616133574,90.847616133574,90.847616133574,99.90481969384703,99.90481969384703
66.78046016563628,65.28766307159,80.93283407318094,98.37891576338183,61.82510283675235,60.107929835307836,66.78046016563628,80.93283407318094,98.37891576338183,98.37891576338183,98.37891576338183
26.497425390187335,84.56318856589944,76.54157214665116,58.180194759074794,40.29928656642835,74.31681307170777,84.56318856589944,84.56318856589944,84.56318856589944,84.56318856589944,84.56318856589944
59.456501441314735,38.61487688931355,44.526033342458284,31.707900320333557,66.6878261272917,91.30920642528028,59.456501441314735,59.456501441314735,59.456501441314735,66.6878261272917,91.30920642528028
27.321790284911465,96.75966974866088,78.0241296725568,95.9953339723915,75.08041871007612,27.36185815697583,96.75966974866088,96.75966974866088,96.75966974866088,96.75966974866088,96.75966974866088
